pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
28,1153,55268,56608,1320,1340,72.0,54115,1219
28,1562,239414,239536,110,122,72.0,237852,111
28,1415,349717,351581,1848,1864,72.0,348302,1695
28,1370,593569,594115,528,546,72.0,592199,497
29,1165,56609,59140,2519,2531,71.0,55444,2301
29,1586,239537,239753,198,216,71.0,237951,197
29,1497,351582,354581,2981,2999,71.0,350085,2727
29,1431,594116,594360,231,244,71.0,592685,222
30,1192,59141,62021,2860,2880,70.0,57949,2619
30,1654,239754,239816,44,62,70.0,238100,57
30,1509,354582,357131,2530,2549,70.0,353073,2318
30,1514,594361,594580,198,219,70.0,592847,200
31,1215,62022,64722,2684,2700,69.0,60807,2455
31,1748,239817,240112,275,295,69.0,238069,269
31,1595,357132,361918,4774,4786,69.0,355537,4351
31,1545,594581,594760,165,179,69.0,593036,163
32,1238,64723,66859,2123,2136,68.0,63485,1942
32,1768,240113,240387,253,274,68.0,238345,250
32,1601,361919,363403,1463,1484,68.0,360318,1350
32,1560,594761,594993,220,232,68.0,593201,211
33,1241,66860,69471,2596,2611,67.0,65619,2374
33,1791,240388,240893,484,505,67.0,238597,460
33,1728,363404,365422,2002,2018,67.0,361676,1835
33,1669,594994,595461,451,467,67.0,593325,425
34,1419,69472,71372,1881,1900,66.0,68053,1728
34,1840,240894,241195,286,301,66.0,239054,274
34,1768,365423,368714,3278,3291,66.0,363655,2992
34,1723,595462,595969,495,507,66.0,593739,461
35,1424,71373,73466,2079,2093,65.0,69949,1903
35,1841,241196,241325,110,129,65.0,239355,118
35,1785,368715,370852,2123,2137,65.0,366930,1943
35,1764,595970,596054,66,84,65.0,594206,77
36,1426,73467,78282,4796,4815,64.0,72041,4378
36,1941,241326,241770,429,444,64.0,239385,404
36,1812,370853,372841,1969,1988,64.0,369041,1808
36,1773,596055,596161,88,106,64.0,594282,97
37,1483,78283,79610,1309,1327,63.0,76800,1207
37,2042,241771,242298,506,527,63.0,239729,480
37,1866,372842,374725,1870,1883,63.0,370976,1712
37,1953,596162,596704,528,542,63.0,594209,493
38,1599,79611,79995,363,384,62.0,78012,350
38,2084,242299,242726,407,427,62.0,240215,389
38,1877,374726,379198,4455,4472,62.0,372849,4066
38,1957,596705,597066,341,361,62.0,594748,329
39,1602,79996,82762,2750,2766,61.0,78394,2515
39,2102,242727,242963,220,236,61.0,240625,215
39,1909,379199,384472,5258,5273,61.0,377290,4794
39,1959,597067,597190,110,123,61.0,595108,112
40,1659,82763,86102,3322,3339,60.0,81104,3036
40,2121,242964,243299,319,335,60.0,240843,305
40,1912,384473,387192,2706,2719,60.0,382561,2472
40,1962,597191,597603,396,412,60.0,595229,375
41,1770,86103,87601,1485,1498,59.0,84333,1362
41,2133,243300,243811,495,511,59.0,241167,465
41,1973,387193,389375,2167,2182,59.0,385220,1984
41,2130,597604,598148,528,544,59.0,595474,495
42,1881,87602,88663,1045,1061,58.0,85721,965
42,2159,243812,243833,0,21,58.0,241653,20
42,1981,389376,392608,3212,3232,58.0,387395,2939
42,2156,598149,598519,352,370,58.0,595993,337
43,1887,88664,89023,341,359,57.0,86777,327
43,2169,243834,243997,143,163,57.0,241665,149
43,2139,392609,395089,2464,2480,57.0,390470,2255
43,2163,598520,598573,33,53,57.0,596357,49
44,1918,89024,94477,5434,5453,56.0,87106,4958
44,2190,243998,244529,517,531,56.0,241808,483
44,2188,395090,396241,1133,1151,56.0,392902,1047
44,2188,598574,598786,198,212,56.0,596386,193
45,1935,94478,96972,2475,2494,55.0,92543,2268
45,2235,244530,244884,341,354,55.0,242295,322
45,2205,396242,399206,2948,2964,55.0,394037,2695
45,2202,598787,599098,297,311,55.0,596585,283
46,2073,96973,102007,5016,5034,54.0,94900,4577
46,2284,244885,245154,253,269,54.0,242601,245
46,2241,399207,402603,3377,3396,54.0,396966,3088
46,2203,599099,599167,55,68,54.0,596896,62
47,2080,102008,103524,1496,1516,53.0,99928,1379
47,2308,245155,245623,451,468,53.0,242847,426
47,2299,402604,406505,3883,3901,53.0,400305,3547
47,2258,599168,599548,363,380,53.0,596910,346
48,2091,103525,105918,2376,2393,52.0,101434,2176
48,2350,245624,245989,352,365,52.0,243274,332
48,2527,406506,409515,2992,3009,52.0,403979,2736
48,2300,599549,599564,0,15,52.0,597249,14
49,2135,105919,107628,1694,1709,51.0,103784,1554
49,2367,245990,246299,297,309,51.0,243623,281
49,2546,409516,413077,3542,3561,51.0,406970,3238
