pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
41,1973,387193,389375,2167,2182,59.0,385220,1984
42,1881,87602,88663,1045,1061,58.0,85721,965
42,2159,243812,243833,0,21,58.0,241653,20
42,1981,389376,392608,3212,3232,58.0,387395,2939
43,1887,88664,89023,341,359,57.0,86777,327
43,2169,243834,243997,143,163,57.0,241665,149
43,2139,392609,395089,2464,2480,57.0,390470,2255
44,1918,89024,94477,5434,5453,56.0,87106,4958
44,2190,243998,244529,517,531,56.0,241808,483
44,2188,395090,396241,1133,1151,56.0,392902,1047
45,1935,94478,96972,2475,2494,55.0,92543,2268
45,2235,244530,244884,341,354,55.0,242295,322
45,2205,396242,399206,2948,2964,55.0,394037,2695
46,2073,96973,102007,5016,5034,54.0,94900,4577
46,2284,244885,245154,253,269,54.0,242601,245
46,2241,399207,402603,3377,3396,54.0,396966,3088
47,2080,102008,103524,1496,1516,53.0,99928,1379
47,2308,245155,245623,451,468,53.0,242847,426
47,2299,402604,406505,3883,3901,53.0,400305,3547
48,2091,103525,105918,2376,2393,52.0,101434,2176
48,2350,245624,245989,352,365,52.0,243274,332
48,2527,406506,409515,2992,3009,52.0,403979,2736
49,2135,105919,107628,1694,1709,51.0,103784,1554
49,2367,245990,246299,297,309,51.0,243623,281
49,2546,409516,413077,3542,3561,51.0,406970,3238
50,2201,107629,109737,2090,2108,50.0,105428,1917
50,2371,246300,246396,77,96,50.0,243929,88
50,2552,413078,417095,4004,4017,50.0,410526,3652
51,2368,109738,114453,4697,4715,49.0,107370,4287
51,2455,246397,246937,528,540,49.0,243942,491
51,2556,417096,420947,3839,3851,49.0,414540,3501
52,2456,114454,119566,5093,5112,48.0,111998,4648
52,2460,246938,247362,407,424,48.0,244478,386
52,2559,420948,425169,4202,4221,48.0,418389,3838
53,2534,119567,120629,1045,1062,47.0,117033,966
53,2461,247363,247463,88,100,47.0,244902,91
53,2575,425170,430014,4829,4844,47.0,422595,4404
54,2551,120630,125003,4356,4373,46.0,118079,3976
54,2483,247464,247851,374,387,46.0,244981,352
54,2603,430015,432869,2838,2854,46.0,427412,2595
