instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
14,36729,36851,110,122,17.0,36715
15,47817,48330,495,513,17.0,47802
12,61533,62056,506,523,17.0,61521
13,73756,74091,319,335,17.0,73743
13,18566,18737,154,171,16.0,18553
15,36852,36899,33,47,16.0,36837
15,48331,48625,275,294,16.0,48316
12,62057,62411,341,354,16.0,62045
14,74092,74137,33,45,16.0,74078
13,18738,18922,165,184,15.0,18725
15,36900,37238,319,338,15.0,36885
16,48626,48886,242,260,15.0,48610
13,62412,62595,165,183,15.0,62399
14,74138,74340,187,202,15.0,74124
13,18923,19896,957,973,14.0,18910
15,37239,37473,220,234,14.0,37224
17,48887,48958,55,71,14.0,48870
13,62596,62691,77,95,14.0,62583
15,74341,74828,473,487,14.0,74326
14,19897,20507,594,610,13.0,19883
16,37474,37596,110,122,13.0,37458
18,48959,49258,286,299,13.0,48941
13,62692,62796,88,104,13.0,62679
16,74829,75200,352,371,13.0,74813
15,20508,20537,11,29,12.0,20493
16,37597,37959,341,362,12.0,37581
18,49259,49660,385,401,12.0,49241
13,62797,63103,286,306,12.0,62784
16,75201,75517,297,316,12.0,75185
15,20538,20704,154,166,11.0,20523
16,37960,38067,88,107,11.0,37944
18,49661,49882,209,221,11.0,49643
14,63104,63487,363,383,11.0,63090
16,75518,75927,396,409,11.0,75502
16,20705,20955,231,250,10.0,20689
16,38068,38122,33,54,10.0,38052
18,49883,49900,0,17,10.0,49865
14,63488,63577,77,89,10.0,63474
16,75928,76351,407,423,10.0,75912
16,20956,21873,902,917,9.0,20940
17,38123,38608,473,485,9.0,38106
18,49901,50182,264,281,9.0,49883
14,63578,63652,55,74,9.0,63564
17,76352,76783,418,431,9.0,76335
17,21874,22610,715,736,8.0,21857
17,38609,38947,319,338,8.0,38592
18,50183,50229,33,46,8.0,50165
16,63653,63938,264,285,8.0,63637
17,76784,76830,33,46,8.0,76767
17,22611,23555,924,944,7.0,22594
17,38948,39071,110,123,7.0,38931
18,50230,50317,66,87,7.0,50212
16,63939,64321,363,382,7.0,63923
17,76831,77098,253,267,7.0,76814
18,23556,24338,770,782,6.0,23538
18,39072,39291,198,219,6.0,39054
18,50318,50774,440,456,6.0,50300
17,64322,64610,275,288,6.0,64305
18,77099,77282,165,183,6.0,77081
19,24339,24948,594,609,5.0,24320
18,39292,39351,44,59,5.0,39274
19,50775,50886,99,111,5.0,50756
17,64611,64668,44,57,5.0,64594
18,77283,77531,231,248,5.0,77265
19,24949,25567,605,618,4.0,24930
18,39352,39375,11,23,4.0,39334
19,50887,51126,220,239,4.0,50868
17,64669,64881,198,212,4.0,64652
18,77532,77848,297,316,4.0,77514
19,25568,25726,143,158,3.0,25549
20,39376,39756,363,380,3.0,39356
19,51127,51192,44,65,3.0,51108
18,64882,64977,77,95,3.0,64864
20,77849,78302,440,453,3.0,77829
20,25727,26018,275,291,2.0,25707
20,39757,40226,451,469,2.0,39737
19,51193,51557,352,364,2.0,51174
20,64978,65003,11,25,2.0,64958
20,78303,78587,264,284,2.0,78283
20,26019,27072,1034,1053,1.0,25999
20,40227,40384,143,157,1.0,40207
19,51558,51853,275,295,1.0,51539
20,65004,65140,121,136,1.0,64984
20,78588,78814,209,226,1.0,78568
