pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time
80,7069,14308,636190,621864,629121,52.8,7239,4278,LARGE,148,,
36,2998,4755,637209,632450,634211,52.1,1757,4384,LARGE,145,,
40,3659,5810,640024,634208,636365,49.9,2151,4626,LARGE,138,,
5,426,540,640216,639660,639790,49.0,114,4756,LARGE,135,,
47,4276,7283,640904,633609,636628,49.5,3007,4652,LARGE,137,,
7,611,798,640958,640155,640347,48.8,187,4765,LARGE,135,,
33,2878,4408,641299,636887,638421,48.8,1530,4744,LARGE,135,,
19,1392,2109,641935,639812,640543,47.8,717,4874,LARGE,132,,
78,6929,13851,642314,628453,635385,47.5,6922,4830,LARGE,132,,
44,3955,6619,642368,635740,638413,46.8,2664,4949,LARGE,129,,
55,4974,8948,642425,633465,637451,46.6,3974,4952,LARGE,129,,
64,5917,11007,642474,631461,636557,46.5,5090,4946,LARGE,129,,
